descricao;endereco;area;quartos;suites;wc;vagas;valor;condominio;lat;lon;weblink
Apartamento impecável, direto com o proprietário, todo reformado em local arborizado, calmo, ensolarado com face norte e leste, com comércio e serviço próximos. Há uma quadra do Mc Donald's, perto do parque do Bacacheri e junto ao tubo do expresso.Ampla sala em L, para jantar e estar, cozinha planejada, área de serviço com central a gás. Três quartos, dois com armário embutido, sendo um suíte com varanda. Hidráulica e elétrica renovados, iluminação com placas LED , sanca iluminada, piso laminado, box blindex, garagem individual livre.Churrasqueira coletiva com móveis rústicos, salão de festa montado, salão de jogos com snooker e pimbolim, sala de ginástica e sala para coworking, playground com amplo terraçoem torno do prédio, prédio pastilhado, portaria 24hs redecorada, elevadores reestilizados , área total de 146,64 m2 , área útil 88,05 m2, área comum 34,20 m2 e área de garagem 24,39 m2.Financiamento liberado pela CEF, 30 mil de sinal , FGTS+ recursos próprios 93 mil e 372 mil financiado.;Avenida Paraná;146;3;1;2;1;495000;800;-25.398545;-49.244942;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento Residencial com 70m2 interno totalmente Mobiliado incluindo todos os móveis e eletrodomésticos.Este apartamento possui 93m² distribuído da seguinte forma: - 3 quartos sendo 1 suíte, todos com armários planejados.- Sala aberta e integrada com a cozinha e lavanderia com armários planejados e todos os móveis e eletrodomésticos.- Banheiro social. - 2 vagas de garagem.Aquecimento à gás nos banheiros, cozinha e lavanderia, porcelanato na sala, cozinha, banheiros e quartos. Churrasqueira a carvão. O condomínio possui poço artesiano, elevadores, piscina grande e pequena com deck, bosque privativo, brinquedoteca, bicicletário, playground, salão de festas, quadra poliesportiva, monitoramento e portaria 24 horas.Somente venda direto com o proprietário! Não anunciaremos por imobiliária!;Rua Jeremias Maciel Perretto;106;3;1;2;2;610000;600;-25.442254;-49.335318;https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-93m2-venda-RS610000-id-2540256541/
Excelente apartamento no 19º (Último andar) do condomínio Life Residence Club. Possui vista para serra do mar e norte da cidade. Muito ensolarado, face norte / leste, sol da manhã. Semi mobiliado.Sacada fechada com sistema reiki. Cozinha e sala com armários sob medida.Sala de estar e jantar integradas.3 quartos, sendo um deles com armário embutido e uma suíte com armários embutidos. 2 banheiros.2 vagas de garagem livres.Sacada com churrasqueira a carvão, acesso pela cozinha e sala.Condomínio com completa área de lazer (piscina coberta e descoberta, sauna, jacuzzi, academia, salão de jogos, brinquedoteca, quadra poliesportiva, cinema, salões de festa), portaria 24 horas, próximo ao transporte coletivo e amplo comércio local.;Rua José Clementino Bettega;130;3;1;2;2;649900;700;-25.499005;-49.296779;https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento para venda possui 71 metros quadrados com 2 quartos📐71m2 útil📐 138m2 total💵 468.000,00💵 condomínio 300,00Garagem para 2 🚗🚗Sala para 2 ambientes sendo 1 sala de estar com um lindo Hack e 1 sala de jantar com cristaleira, uma maravilhosa cozinha provençal verde Oliveira em laca com detalhes dourados, ficando os eletrodomésticos embutidos.Sacada com churrasqueira toda fechada com janelas sistema Heiki.Quarto closet com escritório, podendo ser removido para adaptar uma cama de casal, banheiro social, suíte do casal com móveis sobre medida e cabeceira de cama finamente estofada com um banheiro maravilhoso!!Prédio novo com elevador, salão de festa com terraço e um terraço extra para varais.Me chamem para visitarmosInstagram: @menollicorretoradeimoveis;Rua Cristiano Strobel;138;2;1;2;2;468000;-;-25.518767;-49.249116;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-71m2-venda-RS468000-id-2580825504/
Apto. em área nobre de Curitiba, seminovo (2 anos) com 2 Quarto 1- amplo com armários embutidos e cabeceira (1 suíte com armário, espelho, box e nicho ), W.C. Social(com armário, espelho, box e nicho)-sala jantar-sala estar(com painel)-cozinha(com armários, bancada e fogão 4 bocas embutido, (coifa), lavanderia(com armários embutidos e bancada em granito com tanque inox e espaço para máquina lava e seca)-ampla sacada(fechada com cortina de vidro) com churrasqueira a carvão(armário embutido com cuba inox)-2vagas cobertas e espaçosas de garagem, face oeste (sol depois das 11e30 até se por). Fica 1 quadra da rápida sentido bairro, 2 quadras da Av. Reu. Argentina(estação tubo Sebastião Paraná), panificadora(pantucci), farmácias (várias), bancos, mercados. Aceito permuta por sobrado até R$750.000,00(máximo 5 anos).;Rua Guaianazes;-;2;1;2;2;580000;400;-25.461823;-49.292953;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-78m2-venda-RS580000-id-2501527340/
Apartamento no Santa Quitéria. Direto com o proprietário. Há dois minutos da Getúlio Vargas, ensolarado, com comércio e serviços próximos. Sala para dois ambientes, piso cerâmico novo, cozinha planejada com água quente. Três quartos , todos com armários, portas e maçanetas novas, luminárias instaladas, box blindex, revestimento cerâmico novo, chuveiro novo, espelhos novos, vaga de garagem livre e numerada. Portaria 24 hs, portão eletrônico, play ground, quadra poliesportiva e muito espaço de lazer, todo murado, varais externos coletivos. Ônibus passam na frente do condomínio. Próximo ao Big da General Mario Tourinho. 70,45 m2 área total, área útil 56,63 m2. Quota ideal do terreno 142 m2.Financiamento pela CEF pré-aprovado , sinal 15 mil , FGTS 43 mil, financiamento 172 mil reais.;Rua Rezala Simão;70;3;-;1;1;230000;500;-25.469658;-49.318869;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-57m2-venda-RS230000-id-2579329002/
Apartamento MARAVILHOSO, moderno, decorado e completo. 220 m2 privativos, 426 m2 total,3 suites( suite mastercom hidro e closet ), todos os 4 quartos e corredor com piso de madeira , sala 3 ambientes piso em mármore e Iluminação totalmente automatizada.Cozinha ampla ,churrasqueira , 3 vagas livres + deposito,O La Place está localizado no ponto mais nobre da Av.Iguaçu, sendo hoje uma referência em morar bem. Com arquitetura super moderna em linhas retas, foi projetado pelorenomado escritório Köngisberger & Vannuchi e pelapaisagista Lucina Brandão. O apartamento de 220m2privativos e 3 suítes proporcionam muito espaço econforto para sua família. Um projeto arrojado queoferece completa estrutura de lazer com quadra maravilhada indoor, piscina coberta aquecida, spa com sauna moderno. praça privativa com jardim suspenso e espelho d'água.INCLUINDO:Áreas ComunsAcesso para deficientesÁrea de LazerArea VerdeBibliotecaBicicletárioBrinquedotecaCâmeras de segurançaCampo de futebolCampo de golfeChurrasqueira ampla Espaço GourmetSalão de festas maravilhoso.Estacionamento para visitantesFitness/Sala de GinásticaGuaritaLavanderiaPiscinaPlaygroundPortaria 24 horasSalão de JogosSaunaSistema de alarmeSolariumSPAvestiário vigilância 24 horas;Avenida Iguaçu;426;4;3;5;3;3899000;2800;-25.448922;-49.286567;https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Oportunidade! Lindo Apartamento Recém ReformadoLocalizado em uma das mais tranquilas e arborizadas esquinas do bairro, o condomínio Terrasse Musique é uma obra inspirada no estilo de vida daqueles que valorizam a liberdade e que desejam espaços planejados, funcionais e na medida certa, a 3 quadras do Bom Jesus Lourdes e a 2 quadras do Supermercado Condor. A menos de 15 minutos do Centro e vizinho ao Jardim Botânico, o Cristo Rei é o protagonista de uma das desenvolvidas regiões de Curitiba.Sobre o apartamento:- 73m2 de área útil- 94m2 de área total- 1 vaga de garagem (possibilidade de alugar uma segunda vaga)- Recém reformado- Churrasqueira a carvão na sacada- Lareira a álcool- Living integrado à sacada- Preparação para ar condicionado- Cozinha em conceito aberto- Projeto luminotécnico em todo o apartamento- 2 quartos, sendo 1 suíte- 2 banheiros- Aquecimento à gás com aquecedor de passagem recém revisado- Idade do imóvel: 5 anosSobre as áreas comuns:- Academia- Salão de festas com cozinha gourmet- Espaço kids- Playground;Rua Humberto Morona;94;2;1;2;1;690000;700;-25.433354;-49.241843;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-73m2-venda-RS690000-id-2587203278/
Apartamento no Alto Boqueirão de 48m², com 2 quartos, banheiro, sala e copa integrada e cozinha. Apartamento em ótimo estado com todos os móveis sob medida em MDF.Condomínio com 8 blocos, contendo salão de festas, parquinho e área no fundo, para jogos e rede de vôlei.Salão de festas recém reformado, com churrasqueira, geladeira, mesas, cadeiras, pratos e talheres.Condomínio todo recém pintado.Garagem em frente ao bloco do apartamento.Localidade: Na frente de um mercado, perto de várias padarias, frutarias, materiais de construção, academia, farmácias e 5 min de carro do terminal Boqueirão e Shopping Sports.OBS: Não está incluso na venda os eletrodomésticos, notebooks, monitores, sofá, mesa e colchão.;Rua Francisco Derosso;-;2;-;1;1;215000;350;-25.532912;-49.23978;https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento muito bom, localizado no Caiua/Cidade Industrial. Próximo a supermercado, ponto de onibus em frente, farmácias, fácil acesso a toda a cidade de Curitiba. Excelente estado de conservação. Vaga rotativa de estacionamento. Portaria 24 horas. Água e gás incluso no valor do condomínio.;Rua Vale dos Pássaros;-;2;-;1;1;130000;352;-25.490879;-49.347256;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-bairros-curitiba-com-garagem-50m2-venda-RS130000-id-2467550190/
"Tokaii Residence, apartamento alto padrão, elegante, com conforto térmico e acústico aperfeiçoado, alto nível de tecnologia, estilo, segurança, conforto e sustentabilidade. Acesso com Biometria, Banheiros com pisos aquecidos; Salão de festas e Louge integrados, espaço Fitness interno, espaço Fitness para circuito Funcional; Brinquedoteca, Salão Gourmet e Jogos; Preparação para recarga de carro elétrico; Sistema solar de pré aquecimento de água; Persiana motorizada nos dormitórios; Tudo isso e muito mais!";Rua Murilo do Amaral Ferreira;187;3;3;4;3;1790000;-;-25.459034;-49.287685;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-145m2-venda-RS1790000-id-2569730176/
Apartamento no quinto andar, com 63m² de área privativa com vaga de garagem coberta e individual. Dois quartos sendo um suíte, banheiro social, com armários, box em vidro e ventilação natural.Sala para dois ambientes, cozinha integrada com armários, cooktop, coifa e forno elétrico.Sacada com churrasqueira, armário e cortina de vidro.Elevador, salão de festas, bicicletário, sala para ginástica, portaria.Próximo a vários comércios.Valor do condomínio: R$ 500,00Mais informações: fone 041-9999 24755 com o proprietário;Rua João Alencar Guimarães;-;2;0;2;1;439000;550;-25.458398;-49.314232;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-quiteria-bairros-curitiba-com-garagem-63m2-venda-RS439000-id-2565375785/
Apartamento com 3 dormitórios, sendo uma suíte, preparação para ar condicionado sacada com churrasqueira a carvão, água e gás individuais. Academia e salão de festas, teto com rebaixo em gesso , uma vaga de veículo coberta.;Rua Nossa Senhora de Nazaré;90;3;1;2;1;595000;400;-25.394261;-49.249319;https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
Excelente apartamento mobiliado na melhor região do Champagnat. Localizado entre o Parque Barigui e o Centro. Próximo à restaurantes, universidades, supermercados, farmácias e bancos.DESCRIÇÃO: Ensolarado, com sancas em gesso e piso laminado. 2 Quartos com persianas, sendo o principal com móveis planejados. Sala de jantar e TV, mobiliada, espelhos e iluminação. Cozinha e Area de Serviço sob medida e equipadas. 1 vaga de garagem rotativa.CONDOMÍNIO: O prédio foi recentemente reformado. Conta com Portaria 24hrs, 2 Salões de Festas, 2 Churrasqueiras, Bicicletário, Academia equipada, Playground e salão de jogos.NEGOCIAÇÃO: Economize comprando direto do proprietário. (Corretores, não possuo interesse em representação, obrigado);Rua Padre Anchieta;70;2;-;2;1;345000;450;-25.43281;-49.298311;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-57m2-venda-RS345000-id-2542150574/
Vendo Apartamento>> R$ 680.000,00 - Aceito permuta/veículo até 240.000,00>> 240m/2>> 01 AP. p/ Andar>> 04 Quartos - 04 Banheiros>> Móveis Planejados - Cozinha, Área de Serviço, Quartos e Banheiros.>> 1,5 quadras do Shopping CuritibaApartamento espetacular e único na Lamenha Lins - entre Silva Jardim e Sete de Setembro.Contato WhatsApp;Rua Lamenha Lins;240;4;1;4;1;680000;-;-25.44172;-49.274674;https://www.vivareal.com.br/imovel/apartamento-4-quartos-reboucas-bairros-curitiba-com-garagem-216m2-venda-RS680000-id-2547201954/
Apartamento no primeiro andar em pequeno condomínio residencial no excelente bairro do Água Verde - Localizado em rua tranquila, ao lado do Colégio Bom Jesus, e “perto de tudo” supermercados, escolas, creches, hospital, maternidade, restaurantes, padarias, praças, etc….- Área verde do Condomínio é enorme, linda, bem cuidada com roseiras, amoreira, jabuticabeira e diversas outras frutíferas o flores - Condomínio conta com salão de festas equipado, churrasqueira, parquinho e pequeno campo de futebol - Este apartamento está localizado no Bloco A, recuado há mais de 20 metros da rua e não possui vizinho de parede nem superior o que o torna ainda mais silencioso no meio de Curitiba. - Dentro do apartamento os espaços são amplos e agradáveis, bom pé-direito, bem arejado e bem iluminado. “Quente” no inverno e fresco no verão. Bem ventilado e iluminado, pois tem a área da suíte, área de serviço e cozinha banhados pelo sol da manhã enquanto o quarto, e sala são banhados pelo sol da tarde, não havendo assim problemas com umidade e mofo – Vista do quarto e salas são voltados para ampla área verde e vagas de garagem, além de vista para o lindo pôr do sol. - O imóvel foi reformado: elétrica, hidráulica, aberturas e revestimentos - 2 ou 3 quartos - 1 suíte/ 3 Banheiros - Sala de estar/jantar - Cozinha mobiliada – Dispensa/quarto de serviço – Lavanderia - Chuveiros 220W. Janelas em alumínio trazendo conforto térmico e acústico - Armários embutidos nos quartos – Possui 2 quartos pois o terceiro quarto foi integrado a sala para torná-la mais ampla e com 2 ambientes, sendo possível e fácil a reversão - 1 vaga coberta ampla (cabe carro+moto) - Condomínio aproximado de R$400,00;Rua Nestor Victor;102;2;1;3;1;470000;400;-25.456351;-49.273867;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-95m2-venda-RS470000-id-2562022693/
"Excelente apartamento, ensolarado e com muitos serviços no entorno.Apartamento grande (com área construída exclusiva de 155,537 m2 e área construída global de 231,537m2), com 4 quartos sendo duas suítes, 4 banheiros, ampla sala com dois ambientes e enorme janelão. O apartamento ainda dispõe de cozinha com armários laqueados, área de serviço e suíte de colaborador. As suítes contam com armários embutidos. A garagem é para três carros grandes, com armário para tralhas.Ótima localização, em bairro nobre de Curitiba, entre as Ruas Padre Agostinho e Padre Anchieta. Ao lado está a famosa confeitaria Requinte e a lavanderia 5aSec. Estando a poucos metros da Praça da Ucrânia (Feirinha livre às 6as feiras), farmácias e restaurantes (Bom Strudel, Godines, Terra Madre, casas de carne, etc...). Exatamente do lado, sente-se o aroma das delícias da madrugada). Proximidades: Parque Barigui: 1500 metros; ParkShoppingBarigui: 2000 metros;Biocentro (Centro médico): 500 metros;Próximo ao Hospital Evangélico Mackenzie, ao DAPI (diagnóstico médico por imagem), açougue nas duas esquinas (Domakowski e Assados Galetão), peixaria de 1ª, mercado 24h, dentre diversas opções gastronômicas, de conveniência e serviços.Condomínio com salão de festas amplo, duas churrasqueiras e piscina (sempre com o sol batendo - não há construções ao lado), quadra de esportes e salão de jogos com bilhar e pebolin. Hall de entrada com sofás e porteiros 24 horas e jardim na frente do prédio. Vizinhança perfeita e amigável.";Rua Francisco Rocha;232;4;2;4;3;870000;1100;-25.43107;-49.295987;https://www.vivareal.com.br/imovel/apartamento-4-quartos-champagnat-bairros-curitiba-com-garagem-156m2-venda-RS870000-id-2546566617/
Maravilhoso Apartamento Garden no Mossunguê.Um espaço gostoso com muita área verde, - Tome seu café ao som de pássaros, Tucanos e Jacus.- Este apartamento tem uma área externa deliciosa preparada para receber uma jacuzzi.- Apartamento todo decorado por arquitetos.- Clima de casa em segurança de apartamento.Apartamento composto por :- 3 dormitórios (1 suíte ) - todos mobiliados com móveis modernos e de fino acabamento- Sala espaçosa para até 3 ambientes.- Integração de área de lazer , cozinha e sala.- Quintal com vista para área de mata , repleto de natureza.- dependência de empregada mobiliada, podendo ser utilizada como o quarto dormitório.- Lavanderia completa e decorada.- 2 excelentes vagas alinhadas, dependendo do tamanho pode comportar até 3 automóveisCondomínio conta com portaria 24 horas- quadra poliesportiva- academia completa;Rua Paulo Gorski;-;3;1;4;2;1700000;900;-25.446094;-49.320978;https://www.vivareal.com.br/imovel/apartamento-3-quartos-mossungue-bairros-curitiba-com-garagem-221m2-venda-RS1700000-id-2556429754/
Oportunidade Excelente. Maravilhoso apartamento. Vista Magnífica. IMÓVEL: 14 Andar Super Ventilado e Ensolarado. Piso laminado, aquecedor de passagem a gás com agua quente na cozinha e nos banheiros. Sala em L ampla com janela vidro larga (+- 4m) com grande floreira e maravilhosa vista. Suite grande com guarda roupa planejado. Excelente Varanda com floreira. Escritorio com moveis planejados. Cozinha com móveis planejados. Área de serviço ampla com armários, Área útil 110m². Vaga de garagem no terreo ampla coberta e exclusiva com fácil acesso. Predio reformado e valorizado. Segurança 24h. Grande oportunidade, não perca LOCALIZAÇÃO: Privilegiada no Champagnat/bigorrilho, frente para a praça da Ucrânica. Excelente localização entre os valorizados bairros do Batel, Centro, Mercês, Campina do Siqueira com fácil acesso tanto de carro como por transporte público (biarticulado, Inter, ônibus da região). INFRAESTRUTURA DA REGIÃO: Bem próximo ao Parque Barigui e a Praça da Espanha, muitos restaurantes de excelente qualidade ao redor como o Terraza. Farmácias, bancos, agencia lotérica, vários supermercados próximos como Festival Champagnat (a 1,5 quadras), Pão de Acucar, Condor, Angeloni Champagnat. Colégio Positivo Junior e Positivo Ensino Médio bem próximos. Lojas comerciais e escritórios ao longo da canaleta. Canaleta do biarticulado em frente favorecendo segurança e agilidade de locomoção. Faça uma visita e se impressione.DIRETO COM PROPRIETÁRIO;Rua Padre Anchieta;-;3;1;3;1;615000;-;-25.430714;-49.29297;https://www.vivareal.com.br/imovel/apartamento-3-quartos-champagnat-bairros-curitiba-com-garagem-110m2-venda-RS615000-id-2545385308/
[Reservado] Se você busca morar em um dos melhores bairros de Curitiba, no portão, no Conjunto Residencial Iguaçu V, a 7km do centro, mas sem deixar a tranquilidade de lado, vale a pena conhecer o apartamento, recém reformado! É só entrar e morar!Localização excelente, rua sem saída, arborizada e tranquila. Próximo da Unicesumar - Campus Curitiba, Colégio Adventista do Portão, Shopping Ventura e Shopping Palladium!Prédio de 4 andares, apartamento no primeiro andar!Apartamento com 3 dormitórios:Quarto de casal 1:Sem móveis planejados, pode ser usado como escritório.Quarto de casal 2:Com armário cuidadosamente planejado com um amplo espaço interno para melhor aproveitamento do espaço.Quarto de solteiro:Com armário embutido e bancada que pode ser usada como escritório.Sala para dois ambientes com piso laminado novoBwc social com box em vidro reformado com porcelanato de alto padrão!Cozinha com armários planejados, cooktop e depurador já instalados Área de serviço1 vaga de garagem coberta rotativaCondomínio:Portaria 24 Horas, monitoramento por câmeras e portões automatizadosSalão de FestasChurrasqueiraPlaygroundQuadra PoliesportivaBicicletário;Rua Miguel Abrão;54;3;-;1;1;249000;400;-25.481122;-49.301658;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-49m2-venda-RS249000-id-2574422473/
